Unnamed: 0.1,Unnamed: 0,id,game,team_name,week,date,hour,duration,winner,mvp
135,1,https://ph-mpl.com/data/match/blck-onic-20220318,game2,ONIC,5,2022-03-18,18:00:00,16:10,0,DEX STAR
136,0,https://ph-mpl.com/data/match/blck-onic-20220318,game3,BLCK,5,2022-03-18,18:00:00,30:43,0,Kairi.
137,1,https://ph-mpl.com/data/match/blck-onic-20220318,game3,ONIC,5,2022-03-18,18:00:00,30:43,1,Kairi.
138,0,https://ph-mpl.com/data/match/omg-tnc-20220318,game1,TNC,5,2022-03-18,20:00:00,18:00,0,Raizen
139,1,https://ph-mpl.com/data/match/omg-tnc-20220318,game1,OMG,5,2022-03-18,20:00:00,18:00,1,Raizen
140,0,https://ph-mpl.com/data/match/omg-tnc-20220318,game2,OMG,5,2022-03-18,20:00:00,15:58,0,Benthings
141,1,https://ph-mpl.com/data/match/omg-tnc-20220318,game2,TNC,5,2022-03-18,20:00:00,15:58,1,Benthings
142,0,https://ph-mpl.com/data/match/omg-tnc-20220318,game3,OMG,5,2022-03-18,20:00:00,17:19,0,Benthings
143,1,https://ph-mpl.com/data/match/omg-tnc-20220318,game3,TNC,5,2022-03-18,20:00:00,17:19,1,Benthings
144,0,https://ph-mpl.com/data/match/rsg-nxpe-20220319,game1,RSG,5,2022-03-19,16:00:00,18:30,1,Light
145,1,https://ph-mpl.com/data/match/rsg-nxpe-20220319,game1,NXPE,5,2022-03-19,16:00:00,18:30,0,Light
146,0,https://ph-mpl.com/data/match/rsg-nxpe-20220319,game2,RSG,5,2022-03-19,16:00:00,18:43,1,Nathz
147,1,https://ph-mpl.com/data/match/rsg-nxpe-20220319,game2,NXPE,5,2022-03-19,16:00:00,18:43,0,Nathz
148,0,https://ph-mpl.com/data/match/bren-echo-20220319,game1,BREN,5,2022-03-19,18:00:00,16:41,1,JOY BOY
149,1,https://ph-mpl.com/data/match/bren-echo-20220319,game1,ECHO,5,2022-03-19,18:00:00,16:41,0,JOY BOY
150,0,https://ph-mpl.com/data/match/bren-echo-20220319,game2,ECHO,5,2022-03-19,18:00:00,19:54,0,SUPER MARCO
151,1,https://ph-mpl.com/data/match/bren-echo-20220319,game2,BREN,5,2022-03-19,18:00:00,19:54,1,SUPER MARCO
152,0,https://ph-mpl.com/data/match/blck-tnc-20220319,game1,BLCK,5,2022-03-19,20:00:00,23:31,1,Hadji
153,1,https://ph-mpl.com/data/match/blck-tnc-20220319,game1,TNC,5,2022-03-19,20:00:00,23:31,0,Hadji
154,0,https://ph-mpl.com/data/match/blck-tnc-20220319,game2,TNC,5,2022-03-19,20:00:00,16:29,1,Benthings
155,1,https://ph-mpl.com/data/match/blck-tnc-20220319,game2,BLCK,5,2022-03-19,20:00:00,16:29,0,Benthings
156,0,https://ph-mpl.com/data/match/blck-tnc-20220319,game3,TNC,5,2022-03-19,20:00:00,14:36,1,Benthings
157,1,https://ph-mpl.com/data/match/blck-tnc-20220319,game3,BLCK,5,2022-03-19,20:00:00,14:36,0,Benthings
158,0,https://ph-mpl.com/data/match/onic-nxpe-20220320,game1,NXPE,5,2022-03-20,18:00:00,16:58,0,Dlarskie
159,1,https://ph-mpl.com/data/match/onic-nxpe-20220320,game1,ONIC,5,2022-03-20,18:00:00,16:58,1,Dlarskie
160,0,https://ph-mpl.com/data/match/onic-nxpe-20220320,game2,ONIC,5,2022-03-20,18:00:00,14:47,0,URESHIII
161,1,https://ph-mpl.com/data/match/onic-nxpe-20220320,game2,NXPE,5,2022-03-20,18:00:00,14:47,1,URESHIII
162,0,https://ph-mpl.com/data/match/onic-nxpe-20220320,game3,ONIC,5,2022-03-20,18:00:00,16:33,1,Baloyskie
163,1,https://ph-mpl.com/data/match/onic-nxpe-20220320,game3,NXPE,5,2022-03-20,18:00:00,16:33,0,Baloyskie
164,0,https://ph-mpl.com/data/match/omg-echo-20220320,game1,OMG,5,2022-03-20,20:00:00,28:12,0,YAWI
165,1,https://ph-mpl.com/data/match/omg-echo-20220320,game1,ECHO,5,2022-03-20,20:00:00,28:12,1,YAWI
166,0,https://ph-mpl.com/data/match/omg-echo-20220320,game2,ECHO,5,2022-03-20,20:00:00,14:59,1,KarlTzy
167,1,https://ph-mpl.com/data/match/omg-echo-20220320,game2,OMG,5,2022-03-20,20:00:00,14:59,0,KarlTzy
168,0,https://ph-mpl.com/data/match/rsg-bren-20220325,game1,RSG,6,2022-03-25,18:00:00,14:10,1,Light
169,1,https://ph-mpl.com/data/match/rsg-bren-20220325,game1,BREN,6,2022-03-25,18:00:00,14:10,0,Light
170,0,https://ph-mpl.com/data/match/rsg-bren-20220325,game2,RSG,6,2022-03-25,18:00:00,15:19,1,Kenji
171,1,https://ph-mpl.com/data/match/rsg-bren-20220325,game2,BREN,6,2022-03-25,18:00:00,15:19,0,Kenji
172,0,https://ph-mpl.com/data/match/blck-nxpe-20220325,game1,BLCK,6,2022-03-25,20:00:00,16:52,1,EDWARD
173,1,https://ph-mpl.com/data/match/blck-nxpe-20220325,game1,NXPE,6,2022-03-25,20:00:00,16:52,0,EDWARD
174,0,https://ph-mpl.com/data/match/blck-nxpe-20220325,game2,BLCK,6,2022-03-25,20:00:00,13:58,0,MP the King
175,1,https://ph-mpl.com/data/match/blck-nxpe-20220325,game2,NXPE,6,2022-03-25,20:00:00,13:58,1,MP the King
176,0,https://ph-mpl.com/data/match/blck-nxpe-20220325,game3,NXPE,6,2022-03-25,20:00:00,15:10,0,Eson
177,1,https://ph-mpl.com/data/match/blck-nxpe-20220325,game3,BLCK,6,2022-03-25,20:00:00,15:10,1,Eson
178,0,https://ph-mpl.com/data/match/tnc-echo-20220326,game1,TNC,6,2022-03-26,16:00:00,17:56,0,YAWI
179,1,https://ph-mpl.com/data/match/tnc-echo-20220326,game1,ECHO,6,2022-03-26,16:00:00,17:56,1,YAWI
180,0,https://ph-mpl.com/data/match/tnc-echo-20220326,game2,TNC,6,2022-03-26,16:00:00,18:56,1,SDzyz
181,1,https://ph-mpl.com/data/match/tnc-echo-20220326,game2,ECHO,6,2022-03-26,16:00:00,18:56,0,SDzyz
182,0,https://ph-mpl.com/data/match/tnc-echo-20220326,game3,ECHO,6,2022-03-26,16:00:00,17:06,0,Escalera
183,1,https://ph-mpl.com/data/match/tnc-echo-20220326,game3,TNC,6,2022-03-26,16:00:00,17:06,1,Escalera
184,0,https://ph-mpl.com/data/match/onic-bren-20220326,game1,ONIC,6,2022-03-26,18:00:00,28:10,0,Saxa
